OBJECTID;SAMPLING;EAST;NORTH;C;Ca_exch;Mg_exch;K_exch;Na_exch
106;regular;493441,000;3122790,000;1,195;21,457;8,391;1,959;0,339
107;regular;493441,000;3122940,000;0,937;22,555;8,720;2,517;0,070
108;regular;493441,000;3123090,000;0,972;30,489;8,901;4,721;0,322
109;regular;493441,000;3123240,000;0,654;13,463;5,043;1,632;0,070
110;regular;493441,000;3123840,000;0,419;18,253;7,414;4,859;0,348
111;regular;493591,000;3122340,000;0,691;18,483;5,709;4,332;0,339
112;regular;493591,000;3122490,000;0,428;18,493;11,003;6,440;0,157
113;regular;493591,000;3122790,000;0,603;26,148;11,303;4,276;0,331
114;regular;490891,000;3123690,000;0,491;4,291;1,235;1,238;0,304
115;regular;490891,000;3123390,000;2,137;21,557;4,332;0,844;0,522
116;regular;490891,000;3122940,000;0,695;13,533;4,497;1,156;0,322
117;regular;491641,000;3123390,000;1,463;23,653;8,327;2,844;0,557
118;regular;491791,000;3124290,000;0,399;10,968;5,158;4,634;0,009
119;regular;491791,000;3124590,000;0,678;12,006;5,222;3,852;0,035
120;regular;491041,000;3122190,000;0,892;12,196;3,482;1,483;0,278
121;regular;491191,000;3121590,000;0,591;16,048;8,747;4,783;0,078
122;regular;491641,000;3122040,000;1,943;24,950;7,477;1,969;0,583
123;regular;491191,000;3122490,000;2,175;21,437;5,357;1,596;0,539
124;regular;490891,000;3122490,000;0,720;12,665;4,817;2,670;0,183
125;regular;493291,000;3124290,000;1,148;19,471;6,554;1,263;0,304
126;regular;493141,000;3124440,000;0,627;14,521;8,008;2,598;2,166
127;regular;493441,000;3123690,000;0,393;15,719;6,212;4,731;0,052
128;regular;493141,000;3123240,000;0,305;16,038;5,602;4,425;0,026
129;regular;493291,000;3121590,000;0,664;13,184;5,477;2,532;0,061
130;regular;493591,000;3122040,000;1,014;15,429;7,086;3,509;0,078
131;regular;492691,000;3122490,000;0,458;12,505;3,610;1,125;0,209
132;regular;492391,000;3124590,000;1,395;19,880;4,556;1,166;0,304
133;regular;492091,000;3123540,000;1,209;38,872;5,207;0,977;0,696
134;regular;492091,000;3123690,000;1,317;31,287;3,985;0,829;0,426
135;regular;492091,000;3123840,000;0,303;11,717;5,378;1,499;0,522
136;regular;492241,000;3122940,000;0,574;17,844;7,059;2,982;0,522
137;regular;492241,000;3123090,000;0,999;20,519;3,183;1,161;0,574
138;regular;492241,000;3123240,000;1,430;34,581;4,985;0,905;0,644
139;regular;492241,000;3123390,000;1,287;36,926;5,342;1,417;0,696
140;regular;492241,000;3123540,000;1,120;34,830;5,344;1,350;0,757
141;regular;492241,000;3123690,000;1,312;27,345;4,660;1,187;0,539
142;regular;492391,000;3122940,000;1,046;18,683;4,053;2,348;0,435
143;regular;492391,000;3123390,000;1,059;19,910;4,273;2,107;0,496
144;regular;493441,000;3121890,000;1,540;22,754;7,566;2,803;0,531
145;regular;492691,000;3121890,000;0,588;19,750;3,632;0,844;0,574
